Unnamed: 0,Authors,Title,Year,Link,Authors with Affiliations,Abstract,first_country,first_aff_cat,first_aff_cat_UN,title_tsne_2d,abstract_tsne_2d,title_tsne_3d,abstract_tsne_3d,title_umap_2d,abstract_umap_2d,title_umap_3d,abstract_umap_3d
77,Tom O'Hara;Nico Schüler;Yijuan Lu;Dan Tamir,Inferring Chord Sequence Meanings via Lyrics: Process and Evaluation.,2012,https://doi.org/10.5281/zenodo.1417975,Tom O’Hara+Texas State University>USA>education;Nico Sch¨uler+Texas State University>USA>education;Yijuan Lu+Texas State University>USA>education;Dan E. Tamir+Texas State University>USA>education,"We improve upon our simple approach for learning the “associational meaning” of chord sequences from lyrics based on contingency statistics induced over a set of lyrics with chord annotations. Specifically, we refine this process by using word alignment tools developed for statistical machine translation, and we also use a much larger set of chord annotations. In addition, objective evaluation measures are included. Thus, this work validates a novel application of lexicon induction techniques over parallel corpora to a domain outside of natural language learning. To confirm the associations commonly attributed to major versus minor chords (i.e., happy and sad, respectively), we compare the inferred word associations against synonyms reflecting this dichotomy. To evaluate meanings associated with chord sequences, we check how often tagged chords occur in songs labeled with the same overall meaning.",USA,education,Developed economies,"[27.608604, -32.71587]","[7.7843285, 33.973717]","[-0.7578035, 23.76853, -14.949838]","[22.5346, -11.559011, 13.933826]","[9.422841, 12.5339155]","[6.340369, 4.232176]","[8.567355, 16.19117, 1.0989885]","[5.586253, 4.0411587, -0.42634404]"
78,Alexander Schindler;Rudolf Mayer;Andreas Rauber,Facilitating Comprehensive Benchmarking Experiments on the Million Song Dataset.,2012,https://doi.org/10.5281/zenodo.1417521,Alexander Schindler+Vienna University of Technology>AUT>education;Rudolf Mayer+Vienna University of Technology>AUT>education;Andreas Rauber+Vienna University of Technology>AUT>education,"The Million Song Dataset (MSD), a collection of one million music pieces, enables a new era of research of Music Information Retrieval methods for large-scale applications. It comes as a collection of meta-data such as the song names, artists and albums, together with a set of features extracted with the The Echo Nest services, such as loudness, tempo, and MFCC-like features. There is, however, no easily obtainable download for the audio files. Furthermore, labels for supervised machine learning tasks are missing. Researchers thus are currently restricted on working solely with these features provided, limiting the usefulness of MSD. We therefore present in this paper a more comprehensive set of data based on the MSD, allowing its broader use as benchmark collection. Specifically, we provide a wide and growing collection of other well-known features in the MIR domain, as well as ground truth data with a set of recommended training/test splits. We obtained these features from audio samples provided by 7digital.com, and metadata from the All Music Guide. While copyright prevents re-distribution of the audio snippets per se, the features as well as metadata are publicly available on our website for benchmarking evaluations. In this paper we describe the pre-processing and cleansing steps applied, as well as feature sets and tools made available, together with first baseline classification results.",AUT,education,Developed economies,"[5.669566, 26.804213]","[16.56578, 14.785705]","[18.264032, 2.3981254, 10.395483]","[-5.654757, 9.9922, 13.973909]","[11.745025, 9.276212]","[6.8783154, 4.4333777]","[11.762548, 15.143725, 1.3914886]","[6.19701, 3.8073137, 0.44129324]"
79,Andrew Robertson,Decoding Tempo and Timing Variations in Music Recordings from Beat Annotations.,2012,https://doi.org/10.5281/zenodo.1416806,Andrew Robertson+Queen Mary University of London>GBR>education,"This paper addresses the problem of determining tempo and timing data from a list of beat annotations. Whilst an approximation to the tempo can be calculated from the inter-beat interval, the annotations also include timing variations due to expressively timed events, phase shifts and errors in the annotation times. These deviations tend to propagate into the tempo graph and so tempo analysis methods tend to average over recent inter-beat intervals. However, whilst this minimises the effect such timing deviations have on the local tempo estimate, it also obscures the expressive timing devices used by the performer. Here we propose a more formal method for calculation of the optimal tempo path through use of an appropriate cost function that incorporates tempo change, phase shift and expressive timing.",GBR,education,Developed economies,"[-49.9449, -6.815024]","[-23.06676, -22.62989]","[-2.5814254, -27.961395, -0.022439573]","[-6.863155, -20.053068, -4.433604]","[9.730966, 5.184411]","[10.808737, 1.3370295]","[12.319854, 11.888142, 0.85638195]","[9.855282, 2.9627602, 1.197302]"
80,Katerina Kosta;Marco Marchini;Hendrik Purwins,Unsupervised Chord-Sequence Generation from an Audio Example.,2012,https://doi.org/10.5281/zenodo.1415534,"Katerina Kosta+Centre for Digital Music, Queen Mary, University of London>GBR>education|Music Technology Group, Universitat Pompeu Fabra>ESP>education|Neurotechnology Group, Berlin Institute of Technology>DEU>education;Marco Marchini+Music Technology Group, Universitat Pompeu Fabra>ESP>education|Neurotechnology Group, Berlin Institute of Technology>DEU>education;Hendrik Purwins+Music Technology Group, Universitat Pompeu Fabra>ESP>education|Neurotechnology Group, Berlin Institute of Technology>DEU>education","A system is presented that generates a sound sequence from an original audio chord sequence, having the following characteristics: The generation can be arbitrarily long, preserves certain musical characteristics of the original and has a reasonable degree of interestingness. The procedure comprises the following steps: 1) chord segmentation by onset detection, 2) representation as Constant Q Profiles, 3) multi-level clustering, 4) cluster level selection, 5) metrical analysis, 6) building of a suffix tree, 7) generation heuristics. The system can be seen as a computational model of the cognition of harmony consisting of an unsupervised formation of harmonic categories (via multi-level clustering) and a sequence learning module (via suffix trees) which in turn controls the harmonic categorization in a top-down manner (via a measure of regularity). In the final synthesis, the system recombines the audio material derived from the sample itself and it is able to learn various harmonic styles. The system is applied to various musical styles and is then evaluated subjectively by musicians and non-musicians, showing that it is capable of producing sequences that maintain certain musical characteristics of the original.",GBR,education,Developed economies,"[-44.860302, -32.06066]","[-12.337485, -7.9180226]","[-35.47926, 0.18860134, -0.3791791]","[-14.861803, 11.23899, -3.9159238]","[6.3791533, 9.085862]","[11.308902, 3.8166244]","[8.711045, 12.386295, 2.3809066]","[8.865614, 3.4927278, -1.5352403]"
81,Michael Terrell;György Fazekas;Andrew Simpson;Jordan B. L. Smith;Simon Dixon,Listening Level Changes Music Similarity.,2012,https://doi.org/10.5281/zenodo.1415710,Michael J. Terrell+Queen Mary University of London>GBR>education;György Fazekas+Queen Mary University of London>GBR>education;Andrew J. R. Simpson+Queen Mary University of London>GBR>education;Jordan Smith+Queen Mary University of London>GBR>education;Simon Dixon+Queen Mary University of London>GBR>education,"We examine the effect of listening level, i.e. the absolute sound pressure level at which sounds are reproduced, on music similarity, and in particular, on playlist generation. Current methods commonly use similarity metrics based on Mel-frequency cepstral coefficients (MFCCs), which are derived from the objective frequency spectrum of a sound. We follow this approach, but use the level-dependent auditory spectrum, evaluated using the loudness models of Glasberg and Moore, at three listening levels, to produce auditory spectrum cepstral coefficients (ASCCs). The ASCCs are used to generate sets of playlists at each listening level, using a typical method, and these playlists were found to differ greatly. From this we conclude that music recommendation systems could be made more perceptually relevant if listening level information were included. We discuss the findings in relation to other fields within MIR where inclusion of listening level might also be of benefit.",GBR,education,Developed economies,"[17.947073, 0.6640227]","[20.278358, 20.129137]","[8.67662, 13.390474, -4.424727]","[6.1979713, 8.696992, 14.133178]","[12.125869, 10.105581]","[6.0829644, 3.5502455]","[10.971138, 16.362581, 1.7981132]","[5.6143084, 3.3297434, -0.8136216]"
82,Luis Jure;Ernesto López;Martín Rocamora;Pablo Cancela;Haldo Sponton;Ignacio Irigaray,Pitch Content Visualization Tools for Music Performance Analysis.,2012,https://doi.org/10.5281/zenodo.1414860,Luis Jure+Universidad de la República>URY>education;Ernesto López+Universidad de la República>URY>education;Martín Rocamora+Universidad de la República>URY>education;Pablo Cancela+Universidad de la República>URY>education;Haldo Sponton+Universidad de la República>URY>education;Ignacio Irigaray+Universidad de la República>URY>education,"This work deals with pitch content visualization tools for the analysis of music performance from audio recordings. An existing computational method for the representation of pitch contours is briefly reviewed. Its application to music analysis is exemplified with two pieces of non-notated music: a field recording of a folkloric form of polyphonic singing and a commercial recording by a noted blues musician. Both examples have vocal parts exhibiting complex pitch evolution, difficult to analyze and notate with precision using Western common music notation. By using novel time-frequency analysis techniques that improve the location of the components of a harmonic sound, the melodic content representation implemented here allows a detailed study of aspects related to pitch intonation and tuning. This in turn permits an objective measurement of essential musical characteristics that are difficult or impossible to properly evaluate by subjective perception alone, and which are often not accounted for in traditional musicological analysis. Two software tools are released that allow the practical use of the described methods.",URY,education,Developing economies,"[0.87866837, 17.806355]","[5.09656, -25.473743]","[14.208551, 1.0840743, -21.403988]","[-4.8104405, 15.232339, -11.721665]","[12.128761, 7.676077]","[9.603401, 2.449437]","[12.180696, 15.213616, 0.14805344]","[9.033927, 3.234211, -0.2240822]"
84,Laurent Pugin;Johannes Kepper;Perry Roland;Maja Hartwig;Andrew Hankinson,Separating Presentation and Content in MEI.,2012,https://doi.org/10.5281/zenodo.1416978,Laurent Pugin+Swiss RISM>CHE>facility;Johannes Kepper+Edirom>Unknown>Unknown;Perry Roland+University of Virginia>USA>education;Maja Hartwig+McGill University>CAN>education;Andrew Hankinson+McGill University>CAN>education,"""Common Western music notation is traditionally organized on staves that can be grouped into systems. When multiple systems appear on a page, they are arranged from the top to the bottom of the page, similar to lines of words in a text document. Encoding music notation documents for printing requires this arrangement to be captured. However, in the music notation model proposed by the Music Encoding Initiative (MEI), the hierarchy of the XML sub-tree representing the music emphasizes the content rather than the layout. Since systems and pages do not coincide with the musical content, they are encoded in a secondary hierarchy that contains very limited information. In this paper, we present a complementary solution for augmenting the level of detail of the layout of musical documents; that is, the layout information can be encoded in a separate sub-tree with cross-references to other elements holding the musical content. The major advantage of the proposed solution is that it enables multiple layout descriptions, each describing a different visual instantiation of the same musical content.""",CHE,facility,Developed economies,"[-8.48344, 31.294224]","[28.318796, 1.8986557]","[11.431898, 9.191848, 21.899385]","[-11.272533, -5.7829127, 21.126486]","[11.502976, 7.7727737]","[6.307365, 0.9622886]","[12.446026, 14.397811, 1.2608565]","[6.5009418, 1.8691399, 0.5624748]"
85,Johanna Devaney;Michael I. Mandel;Ichiro Fujinaga,A Study of Intonation in Three-Part Singing using the Automatic Music Performance Analysis and Comparison Toolkit (AMPACT).,2012,https://doi.org/10.5281/zenodo.1416210,"Johanna Devaney+CNMAT, UC Berkeley>USA>education;Michael Mandel+The Ohio State University>USA>education|Audience Inc.>USA>company;Ichiro Fujinaga+CIRMMT, Schulich School of Music, McGill University>CAN>education","This paper introduces the Automatic Music Performance Analysis and Comparison Toolkit (AMPACT), is a MATLAB toolkit for accurately aligning monophonic audio to MIDI scores as well as extracting and analyzing timing-, pitch-, and dynamics-related performance data from the aligned recordings. This paper also presents the results of an analysis performed with AMPACT on an experiment studying intonation in three-part singing. The experiment examines the interval size and drift in four ensembles’ performances of a short exercise by Benedetti, which was designed to highlight the conflict between Just Intonation tuning and pitch drift.",USA,education,Developed economies,"[7.9163785, -33.709602]","[-4.002272, -46.255512]","[-14.907501, -6.248788, -21.496067]","[-7.06563, 18.307999, -16.945862]","[8.993991, 11.193334]","[9.931135, 2.2060816]","[8.907863, 15.140433, 1.3718026]","[9.328645, 3.2121053, -0.122626655]"
86,Carlos Rosão;Ricardo Ribeiro 0001;David Martins de Matos,Influence of Peak Selection Methods on Onset Detection.,2012,https://doi.org/10.5281/zenodo.1417271,Carlos Rosão+ISCTE-IUL>PRT>education|L2F/INESC-ID Lisboa>PRT>facility;Ricardo Ribeiro+ISCTE-IUL>PRT>education|L2F/INESC-ID Lisboa>PRT>facility;David Martins de Matos+IST/UTL>PRT>education|L2F/INESC-ID Lisboa>PRT>facility,"Finding the starting time of musical notes in an audio signal, that is, to perform onset detection, is an important task as this information can be used as the basis for high-level musical processing tasks. Many different methods exist to perform onset detection. However their results depend on a Peak Selection step that makes the decision whether an onset is present at some point in time. In this paper we review a number of different Peak Selection methods and compare their influence in the performance of different onset detection methods and on 4 distinct onset classes. Our results show that the post-processing method used deeply influences both positively and negatively the results obtained.",PRT,education,Developed economies,"[-43.662056, -11.115648]","[-19.34629, -28.38391]","[-8.411841, -22.53098, -3.8148217]","[5.5061617, -17.06153, -8.318284]","[8.579395, 5.933275]","[10.985174, 2.2710118]","[11.33008, 11.689189, -0.017968886]","[10.054872, 3.7848487, 0.7653256]"
87,Yading Song;Simon Dixon;Marcus Pearce,Evaluation of Musical Features for Emotion Classification.,2012,https://doi.org/10.5281/zenodo.1415854,"Yading Song+Centre for Digital Music, Queen Mary University of London>GBR>education;Simon Dixon+Centre for Digital Music, Queen Mary University of London>GBR>education;Marcus Pearce+Centre for Digital Music, Queen Mary University of London>GBR>education","Because music conveys and evokes feelings, a wealth of research has been performed on music emotion recognition. Previous research has shown that musical mood is linked to features based on rhythm, timbre, spectrum and lyrics. For example, sad music correlates with slow tempo, while happy music is generally faster. However, only limited success has been obtained in learning automatic classifiers of emotion in music. In this paper, we collect a ground truth data set of 2904 songs that have been tagged with one of the four words “happy”, “sad”, “angry” and “relaxed”, on the Last.FM web site. An excerpt of the audio is then retrieved from 7Digital.com, and various sets of audio features are extracted using standard algorithms. Two classifiers are trained using support vector machines with the polynomial and radial basis function kernels, and these are tested with 10-fold cross validation. Our results show that spectral features outperform those based on rhythm, dynamics, and, to a lesser extent, harmony. We also find that the polynomial kernel gives better results than the radial basis function, and that the fusion of different feature sets does not always lead to improved classification.",GBR,education,Developed economies,"[58.615986, 1.2898924]","[14.586306, 47.1084]","[8.427626, 34.2434, -2.7337964]","[32.649055, 3.5045593, 10.504045]","[14.737097, 12.226235]","[4.685149, 5.9620175]","[13.873637, 15.988461, 4.3544364]","[3.6696968, 4.151419, 1.3548026]"
88,Benjamin Martin 0001;Daniel G. Brown 0001;Pierre Hanna;Pascal Ferraro,BLAST for Audio Sequences Alignment: A Fast Scalable Cover Identification Tool.,2012,https://doi.org/10.5281/zenodo.1417687,Benjamin Martin+Université de Bordeaux>FRA>education;Daniel G. Brown+University of Waterloo>CAN>education;Pierre Hanna+Université de Bordeaux>FRA>education;Pascal Ferraro+Université de Bordeaux>FRA>education,"Searching for similarities in large musical databases is common for applications such as cover song identification. These methods typically use dynamic programming to align the shared musical motifs between subparts of two recordings. Such music local alignment methods are slow, as are the bioinformatics algorithms they are closely related to. We have adapted the ideas of the Basic Local Alignment Search Tool (BLAST) for biosequence alignment to the domain of aligning sequences of chroma features. Our tool allows local music sequence alignment in near-linear time. It identifies small regions of exact match between sequences, called seeds, and builds local alignments that include these seeds. Seed determination is a key issue for the accuracy of the method and closely depends on the database, the representation and the application. We introduce a particular seeding approach for cover detection, and evaluate it on both a 2000-piece training set and the million song dataset (MSD). We show that the heuristic alignment drastically improves time computation for cover song detection. Alignment sensitivity is still very high on the small database, but is dramatically weakened on the MSD, due to differences in chroma features. We discuss the impact of different choices of these features on alignment of musical pieces.",FRA,education,Developed economies,"[-24.662476, 27.126583]","[24.271753, -23.562037]","[9.388962, -18.88181, 9.569823]","[14.098711, -18.499104, 1.6553711]","[10.7021885, 6.638619]","[8.092523, 1.2904558]","[11.487321, 13.838229, -0.64026296]","[7.384062, 1.8561493, -1.1135471]"
89,Xiao Hu 0001;Jin Ha Lee,A Cross-cultural Study of Music Mood Perception between American and Chinese Listeners.,2012,https://doi.org/10.5281/zenodo.1417799,Xiao Hu+The University of Hong Kong>HKG>education;Jin Ha Lee+University of Washington>USA>education,"Music mood has been recognized as an important access point for music and many online music services support browsing by mood. However, how people judge music mood has not been well studied in the Music Information Retrieval (MIR) domain. In particular, people's cultural background is often assumed to be an important factor in music mood perception, but this assumption has not been verified by empirical studies. This paper reports on a study comparing mood judgments on a set of 30 songs by American and Chinese people. Results show that mood judgments do indeed differ between American and Chinese respondents. Furthermore, respondents’ mood judgments tended to agree more with other respondents from the same culture than those from the other group. Both the song characteristics (e.g., genre, lyrical or instrumental) and the non-cultural background of the respondents (e.g., age, gender, familiarity with the songs) were analyzed to further examine the difference in mood judgments. Findings of this study help further our understanding on how cultural background affects mood perception. Also discussed in this paper are implications for designing MIR systems for cross-cultural music mood classification and recommendation.",HKG,education,Developing economies,"[52.7972, 8.944813]","[21.790033, 44.720333]","[7.2919354, 26.182598, -14.277022]","[30.07676, 4.8742666, 17.772474]","[14.549199, 11.548066]","[4.3030252, 5.331372]","[13.461485, 16.534653, 3.901514]","[3.5447013, 3.6993449, 1.0489006]"
90,Brandon Mechtley;Andreas Spanias;Perry Cook,Shortest Path Techniques for Annotation and Retrieval of Environmental Sounds.,2012,https://doi.org/10.5281/zenodo.1416926,Brandon Mechtley+Arizona State University>USA>education|Arizona State University>USA>education;Perry Cook+Princeton University>USA>education;Andreas Spanias+Arizona State University>USA>education,"Many techniques for text-based retrieval and automatic annotation of music and sound effects rely on learning with explicit generalization, training individual classifiers for each tag. Non-parametric approaches, where queries are individually compared to training instances, can provide added flexibility, both in terms of robustness to shifts in database content and support for foreign queries, such as concepts not yet included in the database. In this paper, we build upon prior work in designing an ontological framework for annotation and retrieval",USA,education,Developed economies,"[-6.738544, 27.145678]","[14.20949, 33.620464]","[24.199778, -12.421468, 5.2147875]","[22.890034, 14.226785, 2.3414469]","[11.849126, 8.994206]","[6.215874, 4.8199496]","[11.193684, 15.6351595, 0.7759368]","[5.0854993, 4.049711, 0.20708169]"
91,Emanuele Coviello;Yonatan Vaizman;Antoni B. Chan;Gert R. G. Lanckriet,Multivariate Autoregressive Mixture Models for Music Auto-Tagging.,2012,https://doi.org/10.5281/zenodo.1416640,"Emanuele Coviello+University of California, San Diego>USA>education;Yonatan Vaizman+University of California, San Diego>USA>education;Antoni B. Chan+City University of Hong Kong>HKG>education;Gert R.G. Lanckriet+University of California, San Diego>USA>education","We propose the multivariate autoregressive model for content based music auto-tagging. At the song level our approach leverages the multivariate autoregressive mixture (ARM) model, a generative time-series model for audio, which assumes each feature vector in an audio fragment is a linear function of previous feature vectors. To tackle tag-model estimation, we propose an efficient hierarchical EM algorithm for ARMs (HEM-ARM), which summarizes the acoustic information common to the ARMs modeling the individual songs associated with a tag. We compare the ARM model with the recently proposed dynamic texture mixture (DTM) model. We hence investigate the relative merits of different modeling choices for music time-series: i) the flexibility of selecting higher memory order in ARM, ii) the capability of DTM to learn specific frequency basis for each particular tag and iii) the effect of the hidden layer of the DT versus the time efficiency of learning and inference with fully observable AR components. Finally, we experiment with a support vector machine (SVM) approach that classifies songs based on a kernel calculated on the frequency responses of the corresponding song ARMs. We show that the proposed approach outperforms SVMs trained on a different kernel function, based on a competing generative model.",USA,education,Developed economies,"[42.822826, -0.07211149]","[8.388535, 30.133764]","[11.029076, 24.989433, 10.460814]","[24.998178, 18.265894, 6.312726]","[13.565716, 10.986303]","[5.954904, 4.866133]","[13.429048, 16.08608, 2.6623938]","[4.996488, 4.417018, -0.24370188]"
92,Philippe Hamel;Yoshua Bengio;Douglas Eck,Building Musically-relevant Audio Features through Multiple Timescale Representations.,2012,https://doi.org/10.5281/zenodo.1416530,Philippe Hamel+Université de Montréal>CAN>education;Yoshua Bengio+Université de Montréal>CAN>education;Douglas Eck+Google Inc.>USA>company,"Low-level aspects of music audio such as timbre, loudness and pitch, can be relatively well modelled by features extracted from short-time windows. Higher-level aspects such as melody, harmony, phrasing and rhythm, on the other hand, are salient only at larger timescales and require a better representation of time dynamics. For various music information retrieval tasks, one would benefit from modelling both low and high level aspects in a unified feature extraction framework. By combining adaptive features computed at different timescales, short-timescale events are put in context by detecting longer timescale features. In this paper, we describe a method to obtain such multi-scale features and evaluate its effectiveness for automatic tag annotation.",CAN,education,Developed economies,"[-1.6321557, -6.2215605]","[9.502901, 29.31959]","[-2.2598276, 14.211077, 8.638785]","[24.38235, 15.409054, 7.134254]","[11.277045, 9.649004]","[5.9186726, 4.7085505]","[11.178569, 14.788788, 1.8533546]","[4.9920397, 4.355482, -0.3058552]"
93,Juan J. Bosch;Jordi Janer;Ferdinand Fuhrmann;Perfecto Herrera,A Comparison of Sound Segregation Techniques for Predominant Instrument Recognition in Musical Audio Signals.,2012,https://doi.org/10.5281/zenodo.1416076,Juan J. Bosch+Universitat Pompeu Fabra>ESP>education;Jordi Janer+Universitat Pompeu Fabra>ESP>education;Ferdinand Fuhrmann+Universitat Pompeu Fabra>ESP>education;Perfecto Herrera+Universitat Pompeu Fabra>ESP>education,"The authors address the identification of predominant music instruments in polytimbral audio by previously dividing the original signal into several streams. Several strategies are evaluated, ranging from low to high complexity with respect to the segregation algorithm and models used for classification. The dataset of interest is built from professionally produced recordings, which typically pose problems to state-of-art source separation algorithms. The recognition results are improved a 19% with a simple sound segregation pre-step using only panning information, in comparison to the original algorithm. In order to further improve the results, we evaluated the use of a complex source separation as a pre-step. The results showed that the performance was only enhanced if the recognition models are trained with the features extracted from the separated audio streams. In this way, the typical errors of state-of-art separation algorithms are acknowledged, and the performance of the original instrument recognition algorithm is improved in up to 32%.",ESP,education,Developed economies,"[-17.960402, -36.057198]","[-45.788815, -20.900936]","[-13.790294, -12.881681, 15.783645]","[-7.8278837, -6.1711698, -30.48143]","[7.4179173, 9.982711]","[10.474775, 5.143163]","[9.409711, 13.48178, -0.37086272]","[8.615401, 5.7148733, 0.34771812]"
94,Juhan Nam;Jorge Herrera;Malcolm Slaney;Julius O. Smith,Learning Sparse Feature Representations for Music Annotation and Retrieval.,2012,https://doi.org/10.5281/zenodo.1415202,Juhan Nam+Stanford University>USA>education;Jorge Herrera+Stanford University>USA>education;Malcolm Slaney+Yahoo! Research>USA>company;Julius Smith+Stanford University>USA>education,"We present a data-processing pipeline based on sparse feature learning and describe its applications to music annotation and retrieval. Content-based music annotation and retrieval systems process audio starting with features. While commonly used features, such as MFCC, are handcrafted to extract characteristics of the audio in a succinct way, there is increasing interest in learning features automatically from data using unsupervised algorithms. We describe a systemic approach applying feature-learning algorithms to music data, in particular, focusing on a high-dimensional sparse-feature representation. Our experiments show that, using only a linear classifier, the newly learned features produce results on the CAL500 dataset comparable to state-of-the-art music annotation and retrieval systems.",USA,education,Developed economies,"[15.986558, 8.995236]","[1.2744445, 25.892649]","[10.141713, 5.5814557, 3.9759548]","[17.662413, 9.394069, -3.558033]","[11.974133, 9.658367]","[7.2284923, 4.712592]","[11.370887, 15.445151, 1.8485715]","[6.5265465, 4.705506, 0.3703646]"
95,Véronique Sébastien;Henri Ralambondrainy;Olivier Sébastien;Noël Conruyt,Score Analyzer: Automatically Determining Scores Difficulty Level for Instrumental e-Learning.,2012,https://doi.org/10.5281/zenodo.1416518,Véronique Sébastien+University of Reunion Island>FRA>education;Henri Ralambondrainy+University of Reunion Island>FRA>education;Olivier Sébastien+University of Reunion Island>FRA>education;Noël Conruyt+University of Reunion Island>FRA>education,"Nowadays, huge sheet music collections exist on the Web, allowing people to access public domain scores for free. However, beginners may be lost in finding a score appropriate to their instrument level, and should often rely on themselves to start out on the chosen piece. In this instrumental e-Learning context, we propose a Score Analyzer prototype in order to automatically extract the difficulty level of a MusicXML piece and suggest advice thanks to a Musical Sign Base (MSB). To do so, we first review methods related to score performance information retrieval. We then identify seven criteria to characterize technical instrumental difficulties and propose methods to extract them from a MusicXML score. The relevance of these criteria is then evaluated through a Principal Components Analysis and compared to human estimations. Lastly we discuss the integration of this work to @-MUSE, a collaborative score annotation platform based on multimedia contents indexation.",FRA,education,Developed economies,"[-2.953301, 23.50229]","[27.17062, -0.7637196]","[11.873289, -8.922047, 20.118492]","[-6.10609, -5.7338862, 18.468092]","[11.259974, 7.2738485]","[6.2867866, 1.4873818]","[12.058541, 14.383442, 0.6392022]","[6.453157, 2.1984513, 0.41890466]"
96,Andrew Hankinson;John Ashley Burgoyne;Gabriel Vigliensoni;Alastair Porter;Jessica Thompson 0001;Wendy Liu;Remi Chiu;Ichiro Fujinaga,Digital Document Image Retrieval Using Optical Music Recognition.,2012,https://doi.org/10.5281/zenodo.1415562,Andrew Hankinson+Centre for Interdisciplinary Research in Music Media and Technology (CIRMMT)>CAN>facility;John Ashley Burgoyne+Centre for Interdisciplinary Research in Music Media and Technology (CIRMMT)>CAN>facility;Gabriel Vigliensoni+Centre for Interdisciplinary Research in Music Media and Technology (CIRMMT)>CAN>facility;Alastair Porter+Centre for Interdisciplinary Research in Music Media and Technology (CIRMMT)>CAN>facility;Jessica Thompson+Centre for Interdisciplinary Research in Music Media and Technology (CIRMMT)>CAN>facility;Wendy Liu+Centre for Interdisciplinary Research in Music Media and Technology (CIRMMT)>CAN>facility;Remi Chiu+Centre for Interdisciplinary Research in Music Media and Technology (CIRMMT)>CAN>facility;Ichiro Fujinaga+Centre for Interdisciplinary Research in Music Media and Technology (CIRMMT)>CAN>facility,"Optical music recognition (OMR) and optical character recognition (OCR) have traditionally been used for document transcription—that is, extracting text or symbolic music from page images for use in an editor while discarding all spatial relationships between the transcribed notation and the original image. In this paper we discuss how OCR has shifted fundamentally from a transcription tool to an indexing tool for document image collections resulting from large digitization efforts. OMR tools and procedures, in contrast, are still focused on small-scale modes of operation. We argue that a shift in OMR development towards document image indexing would present new opportunities for searching, browsing, and analyzing large musical document collections. We present a prototype system we built to evaluate the tools and to develop practices needed to process print and manuscript sources.",CAN,facility,Developed economies,"[-31.45766, 10.937811]","[-23.80696, 21.22694]","[-2.8815935, -11.343866, 22.362041]","[-23.285666, -16.057882, 1.0053382]","[7.8723, 6.917443]","[9.476949, -0.6854234]","[10.368788, 13.197521, -1.09463]","[8.525764, 2.3295865, 2.9441066]"
97,Zafar Rafii;Bryan Pardo,Music/Voice Separation Using the Similarity Matrix.,2012,https://doi.org/10.5281/zenodo.1417631,Zafar Rafii+Northwestern University>USA>education|Northwestern University>USA>education;Bryan Pardo+Northwestern University>USA>education|Northwestern University>USA>education,"Repetition is a fundamental element in generating and perceiving structure in music. Recent work has applied this principle to separate the musical background from the vocal foreground in a mixture, by simply extracting the underlying repeating structure. While existing methods are effective, they depend on an assumption of periodically repeating patterns. In this work, we generalize the repetition-based source separation approach to handle cases where repetitions also happen intermittently or without a fixed period, thus allowing the processing of music pieces with fast-varying repeating structures and isolated repeating elements. Instead of looking for periodicities, the proposed method uses a similarity matrix to identify the repeating elements. It then calculates a repeating spectrogram model using the median and extracts the repeating patterns using a time-frequency masking. Evaluation on a data set of 14 full-track real-world pop songs showed that use of a similarity matrix can overall improve on the separation performance compared with a previous repetition-based source separation method, and a recent competitive music/voice separation method, while still being computationally efficient.",USA,education,Developed economies,"[-10.989488, -41.971542]","[-45.48621, -22.975908]","[-16.819822, -20.327896, 10.779474]","[-7.6871347, -6.8003354, -34.535614]","[7.4131713, 10.825088]","[10.607148, 5.207454]","[8.435703, 14.143791, -0.15825436]","[8.724137, 5.8839755, 0.1522092]"
98,Polina Proutskova;Christophe Rhodes;Geraint A. Wiggins;Tim Crawford,Breathy or Resonant - A Controlled and Curated Dataset for Phonation Mode Detection in Singing.,2012,https://doi.org/10.5281/zenodo.1415872,"Polina Proutskova+Goldsmiths, University of London>GBR>education;Christophe Rhodes+Goldsmiths, University of London>GBR>education;Geraint Wiggins+Queen Mary, University of London>GBR>education;Tim Crawford+Goldsmiths, University of London>GBR>education","This paper presents a new reference dataset of sustained, sung vowels with attached labels indicating the phonation mode. The dataset is intended for training computational models for automated phonation mode detection. Four phonation modes are distinguished by Johan Sundberg [15]: breathy, neutral, flow (or resonant) and pressed. The presented dataset consists of ca. 700 recordings of nine vowels from several languages, sung at various pitches in various phonation modes. The recorded sounds were produced by one female singer under controlled conditions, following recommendations by voice acoustics researchers. While datasets on phonation modes in speech exist, such resources for singing are not available. Our dataset closes this gap and offers researchers in various disciplines a reference and a training set. It will be made available online under Creative Commons license. Also, the format of the dataset is extensible. Further content additions and future support for the dataset are planned.",GBR,education,Developed economies,"[3.3817227, -47.401962]","[-41.006115, -14.293493]","[-12.7074375, -12.363955, -24.058048]","[-4.632839, 10.216378, -25.232851]","[8.489503, 11.530364]","[9.651038, 5.76745]","[8.474099, 15.019258, 0.7710418]","[8.038565, 5.656697, 1.4303777]"
