Authors,Title,Year,Link,Authors with Affiliations,Abstract
Vigliensoni G.; Fujinaga I.,The music listening histories dataset,2017,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85066910167&partnerID=40&md5=1c498c50ef6bf9dbd25c551a875183c1,"Vigliensoni G., Centre for Interdisciplinary Research in Music Media and Technology (CIRMMT), McGill University, Montréal, QC, Canada; Fujinaga I., Centre for Interdisciplinary Research in Music Media and Technology (CIRMMT), McGill University, Montréal, QC, Canada","We introduce the Music Listening Histories Dataset (MLHD), a large-scale collection of music listening events assembled from more than 27 billion time-stamped logs extracted from Last.fm. The logs are organized in the form of listening histories per user, and have been conveniently preprocessed and cleaned. Attractive features of the MLHD are the self-declared metadata provided by users at the moment of registration whose identities have been anonymized, MusicBrainz identifiers for the music entities in each of the logs that allows for an easy linkage to other existing resources, and a set of user profiling features designed to describe aspects of their music listening behavior and activity. We describe the process of assembling the dataset, its content, its demographic characteristics, and discuss about the possible uses of this collection, which, currently, is the largest research dataset of this kind in the field. © 2019 Gabriel Vigliensoni and Ichiro Fujinaga."
Tsushima H.; Nakamura E.; Itoyama K.; Yoshii K.,Function- And rhythm-aware melody harmonization based on tree-structured parsing and split-merge sampling of chord sequences,2017,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85051998287&partnerID=40&md5=6dbad753bb5804715e1798ddf06eeb33,"Tsushima H., Graduate School of Informatics, Kyoto University, Japan; Nakamura E., Graduate School of Informatics, Kyoto University, Japan; Itoyama K., Graduate School of Informatics, Kyoto University, Japan; Yoshii K., Graduate School of Informatics, Kyoto University, Japan, RIKEN AIP, Japan","This paper presents an automatic harmonization method that, for a given melody (sequence of musical notes), generates a sequence of chord symbols in the style of existing data. A typical way is to use hidden Markov models (HMMs) that represent chord transitions on a regular grid (e.g., bar or beat grid). This approach, however, cannot explicitly describe the rhythms, harmonic functions (e.g., tonic, dominant, and subdominant), and the hierarchical structure of chords, which are supposedly important in traditional harmony theories. To solve this, we formulate a hierarchical generative model consisting of (1) a probabilistic context-free grammar (PCFG) for chords incorporating their syntactic functions, (2) a metrical Markov model describing chord rhythms, and (3) a Markov model generating melodies conditionally on a chord sequence. To estimate a variable-length chord sequence for a given melody, we iteratively refine the latent tree structure and the chord symbols and rhythms using a Metropolis-Hastings sampler with split-merge operations. Experimental results show that the proposed method outperformed the HMM-based method in terms of predictive abilities. © 2019 Hiroaki Tsushima, Eita Nakamura, Katsutoshi Itoyama, Kazuyoshi Yoshii."
Liang F.; Gotham M.; Johnson M.; Shotton J.,Automatic stylistic composition of bach chorales with deep LSTM,2017,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85055992374&partnerID=40&md5=eebbfebf781bab11de68bc83996ad11f,"Liang F., Department of Engineering, University of Cambridge, United Kingdom; Gotham M., Faculty of Music, University of Cambridge, United Kingdom; Johnson M., Microsoft, United States; Shotton J., Microsoft, United States","This paper presents ""BachBot"": an end-to-end automatic composition system for composing and completing music in the style of Bach's chorales using a deep long short-term memory (LSTM) generative model. We propose a new sequential encoding scheme for polyphonic music and a model for both composition and harmonization which can be efficiently sampled without expensive Markov Chain Monte Carlo (MCMC). Analysis of the trained model provides evidence of neurons specializing without prior knowledge or explicit supervision to detect common music-theoretic concepts such as tonics, chords, and cadences. To assess BachBot's success, we conducted one of the largest musical discrimination tests on 2336 participants. Among the results, the proportion of responses correctly differentiating BachBot from Bach was only 1% better than random guessing. © 2019 Feynman Liang, Mark Gotham, Matthew Johnson, Jamie Shotton."
Van Der Wel E.; Ullrich K.,Optical Music Recognition with Convolutional Sequence-to-Sequence models,2017,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85052817526&partnerID=40&md5=9168ca43222c17b6e48ee8d548bb3f9c,"Van Der Wel E., University of Amsterdam, Netherlands; Ullrich K., University of Amsterdam, Netherlands","Optical Music Recognition (OMR) is an important technology within Music Information Retrieval. Deep learning models show promising results on OMR tasks, but symbol-level annotated data sets of sufficient size to train such models are not available and difficult to develop. We present a deep learning architecture called a Convolutional Sequence-to-Sequence model to both move towards an end-to-end trainable OMR pipeline, and apply a learning process that trains on full sentences of sheet music instead of individually labeled symbols. The model is trained and evaluated on a human generated data set, with various image augmentations based on real-world scenarios. This data set is the first publicly available set in OMR research with sufficient size to train and evaluate deep learning models. With the introduced augmentations a pitch recognition accuracy of 81% and a duration accuracy of 94% is achieved, resulting in a note level accuracy of 80%. Finally, the model is compared to commercially available methods, showing a large improvements over these applications. © 2019 Eelco van derWel, Karen Ullrich."
Pacha A.; Calvo-Zaragoza J.,Optical music recognition in mensural notation with region-based convolutional neural networks,2018,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85062446867&partnerID=40&md5=873254c405ad63072fad568054685977,"Pacha A., Institute of Visual Computing and Human-Centered Technology, TU Wien, Austria; Calvo-Zaragoza J., PRHLT Research Center, Universitat Politècnica de València, Spain","In this work, we present an approach for the task of optical music recognition (OMR) using deep neural networks. Our intention is to simultaneously detect and categorize musical symbols in handwritten scores, written in mensural notation. We propose the use of region-based convolutional neural networks, which are trained in an end-to-end fashion for that purpose. Additionally, we make use of a convolutional neural network that predicts the relative position of a detected symbol within the staff, so that we cover the entire image-processing part of the OMR pipeline. This strategy is evaluated over a set of 60 ancient scores in mensural notation, with more than 15000 annotated symbols belonging to 32 different classes. The results reflect the feasibility and capability of this approach, with a weighted mean average precision of around 76% for symbol detection, and over 98% accuracy for predicting the position. © Alexander Pacha, Jorge Calvo-Zaragoza."
Choi K.; Fazekas G.; Sandler M.; Cho K.,Transfer learning for music classification and regression tasks,2017,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85069930310&partnerID=40&md5=63fc69c5a839b0e691d27bd198f46419,"Choi K., Centre for Digital Music, Queen Mary University of London, London, United Kingdom; Fazekas G., Centre for Digital Music, Queen Mary University of London, London, United Kingdom; Sandler M., Centre for Digital Music, Queen Mary University of London, London, United Kingdom; Cho K., Center for Data Science, New York University, New York, NY, United States","In this paper, we present a transfer learning approach for music classification and regression tasks. We propose to use a pre-trained convnet feature, a concatenated feature vector using the activations of feature maps of multiple layers in a trained convolutional network. We show how this convnet feature can serve as general-purpose music representation. In the experiments, a convnet is trained for music tagging and then transferred to other music-related classification and regression tasks. The convnet feature outperforms the baseline MFCC feature in all the considered tasks and several previous approaches that are aggregating MFCCs as well as low- and high-level music features. © 2019 Keunwoo Choi, György Fazekas, Mark Sandler, Kyunghyun Cho."
Tsukuda K.; Ishida K.; Goto M.,Lyric Jumper: A lyrics-based music exploratory web service by modeling lyrics generative process,2017,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85069930276&partnerID=40&md5=c099849e1a743e2cb5f851754fd1e2d5,"Tsukuda K., National Institute of Advanced Industrial Science and Technology (AIST), Japan; Ishida K., National Institute of Advanced Industrial Science and Technology (AIST), Japan; Goto M., National Institute of Advanced Industrial Science and Technology (AIST), Japan","Each artist has their own taste for topics of lyrics such as ""love"" and ""friendship."" Considering such artist's taste brings new applications in music information retrieval: choosing an artist based on topics of lyrics and finding un- familiar artists who have similar taste to a favorite artist. Although previous studies applied latent Dirichlet allocation (LDA) to lyrics to analyze topics, LDA was not able to capture the artist's taste. In this paper, we propose a topic model that can deal with the artist's taste for topics of lyrics. Our model assumes each artist has a topic distribution and a topic is assigned to each song according to the distribution. Our experimental results using a real- world dataset show that our model outperforms LDA in terms of the perplexity. By applying our model to estimate topics of 147,990 lyrics by 3,722 artists, we implement a web service called Lyric Jumper that enables users to explore lyrics based on the estimated topics. Lyric Jumper provides functions such as artist's topic taste visualization and topic-similarity-based artist recommendation. We also analyze operation logs obtained from 12,353 users on Lyric Jumper and show the usefulness of Lyric Jumper especially in recommending topic-related phrases in lyrics. © 2019 Kosetsu Tsukuda, Keisuke Ishida, Masataka Goto."
Louboutin C.; Bimbot F.,Modeling the multiscale structure of chord sequences using polytopic graphs,2017,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85069899562&partnerID=40&md5=c2ade27a8802210f4c2ac31977d49de2,"Louboutin C., Université Rennes 1, IRISA, France; Bimbot F., CNRS - UMR 6074, IRISA, France","Chord sequences are an essential source of information in a number of MIR tasks. However, beyond the sequential nature of musical content, relations and dependencies within a music segment can be more efficiently modeled as a graph. Polytopic Graphs have been recently introduced to model music structure so as to account for multiscale relationships between events located at metrically homologous instants. In this paper, we focus on the description of chord sequences and we study a specific set of graph configurations, called Primer Preserving Permutations (PPP). For sequences of 16 chords, PPPs account for 6 different latent systems of relations, corresponding to 6 main structural patterns (Prototypical Carrier Sequences or PCS). Observed chord sequences can be viewed as distorted versions of these PCS and the corresponding optimal PPP is estimated by minimizing a description cost over the latent relations. After presenting the main concepts of this approach, the article provides a detailed study of PPPs across a corpus of 727 chord sequences annotated from the RWC POP database (100 pop songs). Our results illustrate both qualitatively and quantitatively the potential of the proposed model for capturing long-term multiscale structure in musical data, which remains a challenge in computational music modeling and in Music Information Retrieval. © 2019 Corentin Louboutin, Frédéric Bimbot."
Jansson A.; Humphrey E.; Montecchio N.; Bittner R.; Kumar A.; Weyde T.,Singing voice separation with deep U-Net convolutional networks,2017,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85069911577&partnerID=40&md5=38cca5edb51e737d961412edb9db91c6,"Jansson A., City, University of London, United Kingdom, Spotify, Sweden; Humphrey E., Spotify, Sweden; Montecchio N., Spotify, Sweden; Bittner R., Spotify, Sweden; Kumar A., Spotify, Sweden; Weyde T., City, University of London, United Kingdom","The decomposition of a music audio signal into its vocal and backing track components is analogous to image-toimage translation, where a mixed spectrogram is transformed into its constituent sources. We propose a novel application of the U-Net architecture - initially developed for medical imaging - for the task of source separation, given its proven capacity for recreating the fine, low-level detail required for high-quality audio reproduction. Through both quantitative evaluation and subjective assessment, experiments demonstrate that the proposed algorithm achieves state-of-the-art performance. © 2019 Andreas Jansson, Eric Humphrey, Nicola Montecchio, Rachel Bittner, Aparna Kumar, Tillman Weyde."
Dzhambazov G.; Holzapfel A.; Srinivasamurthy A.; Serra X.,Metrical-accent aware vocal onset detection in polyphonic audio,2017,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85069903194&partnerID=40&md5=1fc63dddad78f535bc6bd4e77aa249b9,"Dzhambazov G., Music Technology Group, Universitat Pompeu Fabra, Barcelona, Spain; Holzapfel A., Media Technology and Interaction Design, KTH Royal Institute of Technology, Stockholm, Sweden; Srinivasamurthy A., Music Technology Group, Universitat Pompeu Fabra, Barcelona, Spain; Serra X., Music Technology Group, Universitat Pompeu Fabra, Barcelona, Spain","The goal of this study is the automatic detection of onsets of the singing voice in polyphonic audio recordings. Starting with a hypothesis that the knowledge of the current position in a metrical cycle (i.e. metrical accent) can improve the accuracy of vocal note onset detection, we propose a novel probabilistic model to jointly track beats and vocal note onsets. The proposed model extends a state of the art model for beat and meter tracking, in which a-priori probability of a note at a specific metrical accent interacts with the probability of observing a vocal note onset. We carry out an evaluation on a varied collection of multi-instrument datasets from two music traditions (English popular music and Turkish makam) with different types of metrical cycles and singing styles. Results confirm that the proposed model reasonably improves vocal note onset detection accuracy compared to a baseline model that does not take metrical position into account. © 2019 Georgi Dzhambazov, Andre Holzapfel, Ajay Srinivasamurthy, Xavier Serra."
Peperkamp J.; Hildebrandt K.; Liem C.C.S.,A formalization of relative local tempo variations in collections of performances,2017,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85069936515&partnerID=40&md5=05d15da2630f810a1f8e5d6fe83cd40a,"Peperkamp J., Delft University of Technology, Delft, Netherlands; Hildebrandt K., Delft University of Technology, Delft, Netherlands; Liem C.C.S., Delft University of Technology, Delft, Netherlands","Multiple performances of the same piece share similarities, but also show relevant dissimilarities. With regard to the latter, analyzing and quantifying variations in collections of performances is useful to understand how a musical piece is typically performed, how naturally sounding new interpretations could be rendered, or what is peculiar about a particular performance. However, as there is no formal ground truth as to what these variations should look like, it is a challenge to provide and validate analysis methods for this. In this paper, we focus on relative local tempo variations in collections of performances. We propose a way to formally represent relative local tempo variations, as encoded in warping paths of aligned performances, in a vector space. This enables using statistics for analyzing tempo variations in collections of performances. We elaborate the computation and interpretation of the mean variation and the principal modes of variation. To validate our analysis method despite the absence of a ground truth, we present results on artificially generated data, representing several categories of local tempo variations. Finally, we show how our method can be used for analyzing to realworld data and discuss potential applications. © 2019 Jeroen Peperkamp, Klaus Hildebrandt, Cynthia C. S."
Zhang S.; Repetto R.C.; Serra X.,Understanding the expressive functions of jingju metrical patterns through lyrics text mining,2017,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85056652704&partnerID=40&md5=d37f7468ec710a04cab8f60afc903f02,"Zhang S., Music Technology Group, Universitat Pompeu Fabra, Spain; Repetto R.C., Music Technology Group, Universitat Pompeu Fabra, Spain; Serra X., Music Technology Group, Universitat Pompeu Fabra, Spain","The emotional content of jingju (aka Beijing or Peking opera) arias is conveyed through pre-defined metrical patterns known as banshi, each of them associated with a specific expressive function. In this paper, we first report the work on a comprehensive corpus of jingju lyrics that we built, suitable for text mining and text analysis in a data-driven framework. Utilizing this corpus, we propose a novel approach to study the expressive functions of banshi by applying text analysis techniques on lyrics. First we apply topic modeling techniques to jingju lyrics text documents grouped at different levels according to the banshi they are associated with. We then experiment with several different document vector representations of lyrics in a series of document classification experiments. The topic modeling results showed that sentiment polarity (positive or negative) is better distinguished between different shengqiang-banshi (a more fine grained partition of banshi) than banshi alone, and we are able to achieve high accuracy scores in classifying lyrics documents into different banshi categories. We discuss the technical and musicological implications and possible future improvements. © 2019 Shuo Zhang, Rafael Caro Repetto, Xavier Serra."
Mishra S.; Sturm B.L.; Dixon S.,Local interpretable model-agnostic explanations for music content analysis,2017,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85063089874&partnerID=40&md5=de590301375d4acbd16a48a5aaed2c98,"Mishra S., Centre for Digital Music, Queen Mary University of London, United Kingdom; Sturm B.L., Centre for Digital Music, Queen Mary University of London, United Kingdom; Dixon S., Centre for Digital Music, Queen Mary University of London, United Kingdom","The interpretability of a machine learning model is essential for gaining insight into model behaviour. While some machine learning models (e.g., decision trees) are transparent, the majority of models used today are still black-boxes. Recent work in machine learning aims to analyse these models by explaining the basis of their decisions. In this work, we extend one such technique, called local interpretable model-agnostic explanations, to music content analysis. We propose three versions of explanations: one version is based on temporal segmentation, and the other two are based on frequency and time-frequency segmentation. These explanations provide meaningful ways to understand the factors that influence the classification of specific input data. We apply our proposed methods to three singing voice detection systems: the first two are designed using decision tree and random forest classifiers, respectively; the third system is based on convolutional neural network. The explanations we generate provide insights into the model behaviour. We use these insights to demonstrate that despite achieving 71.4% classification accuracy, the decision tree model fails to generalise. We also demonstrate that the model-agnostic explanations for the neural network model agree in many cases with the model-dependent saliency maps. The experimental code and results are available online.1 © 2019 Saumitra Mishra, Bob L. Sturm, Simon Dixon."
Huang C.-Z.A.; Cooijmans T.; Roberts A.; Courville A.; Eck D.,Counterpoint by convolution,2017,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85055966041&partnerID=40&md5=15ee7ac379aaf084211bb8b3dc1cfa96,"Huang C.-Z.A., MILA, Université de Montréal, Canada; Cooijmans T., MILA, Université de Montréal, Canada; Roberts A., Google Brain; Courville A., MILA, Université de Montréal, Canada; Eck D., Google Brain","Machine learning models of music typically break up the task of composition into a chronological process, composing a piece of music in a single pass from beginning to end. On the contrary, human composers write music in a nonlinear fashion, scribbling motifs here and there, often revisiting choices previously made. In order to better approximate this process, we train a convolutional neural network to complete partial musical scores, and explore the use of blocked Gibbs sampling as an analogue to rewriting. Neither the model nor the generative procedure are tied to a particular causal direction of composition. Our model is an instance of orderless NADE [36], which allows more direct ancestral sampling. However, we find that Gibbs sampling greatly improves sample quality, which we demonstrate to be due to some conditional distributions being poorly modeled. Moreover, we show that even the cheap approximate blocked Gibbs procedure from [40] yields better samples than ancestral sampling, based on both log-likelihood and human evaluation. © 2019 Cheng-Zhi Anna Huang, Tim Cooijmans, Adam Roberts, Aaron Courville, Douglas Eck."
Humphrey E.J.; Montecchio N.; Bittner R.; Jansson A.; Jehan T.,Mining labeled data from web-scale collections for vocal activity detection in music,2017,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85058518447&partnerID=40&md5=dc5971a63012a034d5105acd9cfc0552,"Humphrey E.J., Spotify, New York, NY, United States; Montecchio N., Spotify, New York, NY, United States; Bittner R., Spotify, New York, NY, United States, Music, Audio and Research Lab (MARL), New York University, United States; Jansson A., Spotify, New York, NY, United States, City University, London, United Kingdom; Jehan T., Spotify, New York, NY, United States","This work demonstrates an approach to generating strongly labeled data for vocal activity detection by pairing instrumental versions of songs with their original mixes. Though such pairs are rare, we find ample instances in a massive music collection for training deep convolutional networks at this task, achieving state of the art performance with a fraction of the human effort required previously. Our error analysis reveals two notable insights: imperfect systems may exhibit better temporal precision than human annotators, and should be used to accelerate annotation; and, machine learning from mined data can reveal subtle biases in the data source, leading to a better understanding of the problem itself. We also discuss future directions for the design and evolution of benchmarking datasets to rigorously evaluate AI systems. © 2019 Eric J. Humphrey, Nicola Montecchio, Rachel Bittner, Andreas Jansson, Tristan Jehan."
Zalkow F.; Weiß C.; Müller M.,Exploring tonal-dramatic relationships in richard Wagner's ring cycle,2017,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85069920600&partnerID=40&md5=032a612d32cbdca5adad559351fba115,"Zalkow F., International Audio Laboratories Erlangen, Germany; Weiß C., International Audio Laboratories Erlangen, Germany; Müller M., International Audio Laboratories Erlangen, Germany","Richard Wagner's cycle Der Ring des Nibelungen, consisting of four music dramas, constitutes a comprehensive work of high importance forWestern music history. In this paper, we indicate how MIR methods can be applied to explore this large-scale work with respect to tonal properties. Our investigations are based on a data set that contains 16 audio recordings of the entire Ring as well as extensive annotations including measure positions, singer activities, and leitmotif regions. As a basis for the tonal analysis, we make use of common audio features, which capture local chord and scale information. Employing a crossversion approach, we show that global histogram representations can reflect certain tonal relationships in a robust way. Based on our annotations, a musicologist may easily select and compare passages associated with dramatic aspects, for example, the appearance of specific characters or the presence of particular leitmotifs. Highlighting and investigating such passages may provide insights into the role of tonality for the dramatic conception of Wagner's Ring. By giving various concrete examples, we indicate how our approach may open up new ways for exploring large musical corpora in an intuitive and interactive way. © 2019 Frank Zalkow, Christof Weiß, Meinard Müller."
McFee B.; Bello J.P.,Structured training for large-vocabulary chord recognition,2017,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85053714526&partnerID=40&md5=90af5c2dc10aecb4914dc23913b94745,"McFee B., Center for Data Science, New York University, United States, Music and Audio Research Laboratory, New York University, United States; Bello J.P., Music and Audio Research Laboratory, New York University, United States","Automatic chord recognition systems operating in the large-vocabulary regime must overcome data scarcity: certain classes occur much less frequently than others, and this presents a significant challenge when estimating model parameters. While most systems model the chord recognition task as a (multi-class) classification problem, few attempts have been made to directly exploit the intrinsic structural similarities between chord classes. In this work, we develop a deep convolutional-recurrent model for automatic chord recognition over a vocabulary of 170 classes. To exploit structural relationships between chord classes, the model is trained to produce both the time-varying chord label sequence as well as binary encodings of chord roots and qualities. This binary encoding directly exposes similarities between related classes, allowing the model to learn a more coherent representation of simultaneous pitch content. Evaluations on a corpus of 1217 annotated recordings demonstrate substantial improvements compared to previous models. © 2019 Brian McFee, Juan Pablo Bello."
Schreiber H.; Müller M.,A post-processing procedure for improving music tempo estimates using supervised learning,2017,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85069870428&partnerID=40&md5=9f82a4b963797f8de12fd08fec12a2bf,"Schreiber H., Tagtraum Industries Incorporated; Müller M., International Audio Laboratories Erlangen, Germany","Tempo estimation is a fundamental problem in music information retrieval and has been researched extensively. One problem still unsolved is the tendency of tempo estimation algorithms to produce results that are wrong by a small number of known factors (so-called octave errors). We propose a method that uses supervised learning to predict such tempo estimation errors. In a post-processing step, these predictions can then be used to correct an algorithm's tempo estimates. While being simple and relying only on a small number of features, our proposed method significantly increases accuracy for state-of-the-art tempo estimation methods. © 2019 Hendrik Schreiber, Meinard Müller."
Shi Z.; Arul K.; Smith J.O.,Modeling and digitizing reproducing piano rolls,2017,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85069821605&partnerID=40&md5=3a139b13ae7aecb4dcff6d998f782f05,"Shi Z., CCRMA, Stanford University, United States; Arul K., Department of Music, Stanford University, United States; Smith J.O., CCRMA, Stanford University, United States","Reproducing piano rolls are among the early music storage mediums, preserving fine details of a piano or organ performance on a continuous roll of paper with holes punched onto them. While early acoustic recordings suffer from poor quality sound, reproducing piano rolls benefit from the fidelity of a live piano for playback, and capture all features of a performance in what amounts to an early digital data format. However, due to limited availability of well maintained playback instruments and the condition of fragile paper, rolls have remained elusive and generally inaccessible for study. This paper proposes methods for modeling and digitizing reproducing piano rolls. Starting with an optical scan, we convert the raw image data into the MIDI file format by applying histogram-based image processing and building computational models of the musical expressions encoded on the rolls. Our evaluations show that MIDI emulations from our computational models are accurate on note level and proximate the musical expressions when compared with original playback recordings. © 2019 Zhengshan Shi, Kumaran Arul, Julius O. Smith."
Oramas S.; Nieto O.; Barbieri F.; Serra X.,"Multi-label music genre classification from audio, text, and images using deep features",2017,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85069917282&partnerID=40&md5=6a745cc023df02a48901b1f2befd0319,"Oramas S., Music Technology Group, Universitat Pompeu Fabra, Spain; Nieto O., Pandora Media Inc., United States; Barbieri F., TALN Group, Universitat Pompeu Fabra, Spain; Serra X., Music Technology Group, Universitat Pompeu Fabra, Spain","Music genres allow to categorize musical items that share common characteristics. Although these categories are not mutually exclusive, most related research is traditionally focused on classifying tracks into a single class. Furthermore, these categories (e.g., Pop, Rock) tend to be too broad for certain applications. In this work we aim to expand this task by categorizing musical items into multiple and fine-grained labels, using three different data modalities: audio, text, and images. To this end we present MuMu, a new dataset of more than 31k albums classified into 250 genre classes. For every album we have collected the cover image, text reviews, and audio tracks. Additionally, we propose an approach for multi-label genre classification based on the combination of feature embeddings learned with state-of-the-art deep learning methodologies. Experiments show major differences between modalities, which not only introduce new baselines for multi-label genre classification, but also suggest that combining them yields improved results. © 2019 Sergio Oramas, Oriol Nieto, Francesco Barbieri, Xavier Serra."
Humphrey E.J.; Durand S.; McFee B.,OpenMIC-2018: An open dataset for multiple instrument recognition,2018,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85056621572&partnerID=40&md5=662a690a001f004f12487c05710a7d1e,"Humphrey E.J., Spotify, Sweden; Durand S., Spotify, Sweden; McFee B., New York University, United States","Identification of instruments in polyphonic recordings is a challenging, but fundamental problem in music information retrieval. While there has been significant progress in developing predictive models for this and related classification tasks, we as a community lack a common data-set which is large, freely available, diverse, and representative of naturally occurring recordings. This limits our ability to measure the efficacy of computational models. This article describes the construction of a new, open data-set for multi-instrument recognition. The dataset contains 20,000 examples of Creative Commons-licensed music available on the Free Music Archive. Each example is a 10-second excerpt which has been partially labeled for the presence or absence of 20 instrument classes by annotators on a crowd-sourcing platform. We describe in detail how the instrument taxonomy was constructed, how the dataset was sampled and annotated, and compare its characteristics to similar, previous data-sets. Finally, we present experimental results and baseline model performance to motivate future work. © Eric J. Humphrey, Simon Durand, Brian McFee."
Syue J.-L.; Su L.; Lin Y.-J.; Li P.-C.; Lu Y.-K.; Wang Y.-L.; Su A.W.Y.,Accurate audio-to-score alignment for expressive violin recordings,2017,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85069915547&partnerID=40&md5=3ece1309ceca3c84960011487932c2b4,"Syue J.-L., SCREAM Lab., Department of CSIE, National Cheng-Kung University, Taiwan; Su L., Music and Culture Technology Lab., IIS, Academia Sinica, Taiwan; Lin Y.-J., SCREAM Lab., Department of CSIE, National Cheng-Kung University, Taiwan; Li P.-C., SCREAM Lab., Department of CSIE, National Cheng-Kung University, Taiwan; Lu Y.-K., SCREAM Lab., Department of CSIE, National Cheng-Kung University, Taiwan; Wang Y.-L., SCREAM Lab., Department of CSIE, National Cheng-Kung University, Taiwan; Su A.W.Y., SCREAM Lab., Department of CSIE, National Cheng-Kung University, Taiwan","An audio-to-score alignment system adaptive to various playing styles and techniques, and also with high accuracy for onset/offset annotation is the key step toward advanced research on automatic music expression analysis. Technical barriers include the processing of overlapped notes, repeated note sequences, and silence. Most of these characteristics vary with expressions. In this paper, the audio-toscore alignment problem of expressive violin performance is addressed. We propose a two-stage alignment system composed of the dynamic time warping (DTW) algorithm, simulation of overlapped sustain notes, background noise model, silence detection, and refinement process, to better capture the onset. More importantly, we utilize the nonnegative matrix factorization (NMF) method for synthesis of the reference signal in order to deal with highly diverse timbre in real-world performance. A dataset of annotated expressive violin recordings in which each piece is played with various expressive musical terms is used. The optimal choice of basic parameters considered in conventional alignment systems, such as features, distance functions in DTW, synthesis methods for the reference signal, and energy ratios, is analyzed. Different settings on different expressions are compared and discussed. Results show that the proposed methods notably improve the conventional DTW-based alignment method. © 2019 Jia-Ling Syue, Li Su, Yi-Ju Lin, Pei-Ching Li, Yen-Kuang Lu, Yu-Lin Wang, Alvin W. Y. Su."
Bittner R.M.; Gu M.; Hernandez G.; Humphrey E.J.; Jehan T.; McCurry P.H.; Montecchio N.,Automatic playlist sequencing and transitions,2017,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85069859516&partnerID=40&md5=f8aeda058978dce63d9362aef4bceefc,"Bittner R.M., Spotify Inc., United States; Gu M., Spotify Inc., United States; Hernandez G., Spotify Inc., United States; Humphrey E.J., Spotify Inc., United States; Jehan T., Spotify Inc., United States; McCurry P.H., Spotify Inc., United States; Montecchio N., Spotify Inc., United States","Professional music curators and DJs artfully arrange and mix recordings together to create engaging, seamless, and cohesive listening experiences, a craft enjoyed by audiences around the world. The average listener, however, lacks both the time and the skill necessary to create comparable experiences, despite access to same source material. As a result, user-generated listening sessions often lack the sophistication popularized by modern artists, e.g. tracks are played in their entirety with little or no thought given to their ordering. To these ends, this paper presents methods for automatically sequencing existing playlists and adding DJ-style crossfade transitions between tracks: the former is modeled as a graph traversal problem, and the latter as an optimization problem. Our approach is motivated by an analysis of listener data on a large music catalog, and subjectively evaluated by professional curators. © 2019 Rachel M. Bittner, Minwei Gu, Gandalf Hernandez, Eric J. Humphrey."
Ens J.; Riecke B.E.; Pasquier P.,The significance of the low complexity dimension in music similarity judgements,2017,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85069942343&partnerID=40&md5=6f2a5922cdb00b2413c4a9296af08620,"Ens J., Simon Fraser University, Canada; Riecke B.E., Simon Fraser University, Canada; Pasquier P., Simon Fraser University, Canada","Previous research has demonstrated that similarity judgements are context specific, as they are shaped by cultural exposure, familiarity, and the musical aesthetic of the content being compared. Although such research suggests that the criterion for similarity judgement varies with respect to the musical style of the content being compared, the specific musical factors which shape this criterion are unknown. Since dimensional complexity differentiates musical genres, and has been shown to affect similarity judgements following lifelong exposure, this experiment investigates the short-term influence of dimensional complexity on similarity judgements. Rhythmic and pitch sequences with two levels of complexity were factorially combined to create four distinct types of prototype melodies. 51 participants rated the similarity of each type of prototype melody (M) to two variations, one in which the pitch content was modified (Mp), and another in which the rhythmic content was modified (Mr). The results indicate that rhythm and pitch complexity both play a significant role, influencing the perceived similarity of Mp, and Mr. The dimension bearing low complexity information was found to be the predominant factor in similarity judgements, as participants found modifications to this dimension to significantly decrease perceived similarity. © 2019 Jeff Ens, Bernhard E. Riecke, Philippe Pasquier."
