Authors;Title;Year;Link;Abstract;Authors with Affiliations;aff_names;Affiliation type;Affiliation country;Western_flag;First Author Affiliation UN Category;UN Categories;dim_1;dim_2
"Ling Feng;Andreas Brinch Nielsen;Lars Kai Hansen";Vocal Segment Classification in Popular Music.;2008;https://doi.org/10.5281/zenodo.1416932;This paper explores the vocal and non-vocal music classiﬁcation problem within popular songs. A newly built labeled database covering 147 popular songs is announced. It is designed for classifying signals from 1sec time windows. Features are selected for this particular task, in order to capture both the temporal correlations and the dependencies among the feature dimensions. We systematically study the performance of a set of classiﬁers, including linear regression, generalized linear model, Gaussian mixture model, reduced kernel orthonormalized partial least squares and K-means on cross-validated training and test setup. The database is divided in two different ways: with/without artist overlap between training and test sets, so as to study the so called ‘artist effect’. The performance and results are analyzed in depth: from error rates to sample-to-sample error correlation. A voting scheme is proposed to enhance the performance under certain conditions.;"Ling Feng, Technical University of Denmark, DNK, education;Andreas Brinch Nielsen, Technical University of Denmark, DNK, education;Lars Kai Hansen, Technical University of Denmark, DNK, education";Technical University of Denmark, Technical University of Denmark, Technical University of Denmark;education, education, education;DNK, DNK, DNK;NOT_FOUND;Developed economies;Developed economies, Developed economies, Developed economies;31.90137;-2.199331
"Adrien Daniel;Valentin Emiya;Bertrand David";Perceptually-Based Evaluation of the Errors Usually Made When Automatically Transcribing Music.;2008;https://doi.org/10.5281/zenodo.1417155;This paper investigates the perceptual importance of typical errors occurring when transcribing polyphonic music excerpts into a symbolic form. The case of the automatic transcription of piano music is taken as the target application and two subjective tests are designed. The main test aims at understanding how human subjects rank typical transcription errors such as note insertion, deletion or replacement, note doubling, incorrect note onset or duration, and so forth. The Bradley-Terry-Luce (BTL) analysis framework is used and the results show that pitch errors are more clearly perceived than incorrect loudness estimations or temporal deviations from the original recording. A second test presents a first attempt to include this information in more perceptually motivated measures for evaluating transcription systems.;"Adrien DANIEL, TELECOM ParisTech (ENST), CNRS LTCI, FRA, education;Valentin EMIYA, TELECOM ParisTech (ENST), CNRS LTCI, FRA, education;Bertrand DAVID, TELECOM ParisTech (ENST), CNRS LTCI, FRA, education";Telecom ParisTech,Telecom ParisTech,Telecom ParisTech;education, education, education;FRA, FRA, FRA;NOT_FOUND;Developed economies;Developed economies, Developed economies, Developed economies;24.112381;22.396027
"Konstantinos A. Meintanis;Frank M. Shipman III";Creating and Evaluating Multi-Phrase Music Summaries.;2008;https://doi.org/10.5281/zenodo.1415510;Music summarization involvers the proces of identifying and presenting melody snippets carrying sufficient information for highlighting and remembering a song. In many commercial applications, the problem of finding those snippets is addressed by having humans seect the most salient parts of the song or by extracting a few seconds from the song's introduction. Research in the automatic creating of music summaries has focused mainly on the extraction of one or more highly repetitive phrases to represent the whole song. This paper explores whether the composition of multiple characteristic phrases that are selected to be highly dissimilar to one another will increase the summary's effectiveness. This paper presents three variations of this multi-phrase music summarization approach and a human-centered evaluation comparing these algorithms. Results showed that the resulting muilti-phrase summaries performed well in describing the songs. People preferred the multi-phrase summaries over presentations of the introductions of the songs. ;"Konstantinos A. Meintanis, Texas A&M University, education, USA;Frank M. Shipman III, Texas A&M University, education, USA";Texas A&M University,Texas A&M University;education, education;USA, USA;NOT_FOUND;Developed economies;Developed economies, Developed economies;-20.971113;2.9374316
"Kazumasa Murata;Kazuhiro Nakadai;Kazuyoshi Yoshii;Ryu Takeda;Toyotaka Torii;Hiroshi G. Okuno;Yuji Hasegawa;Hiroshi Tsujino";A Robot Singer with Music Recognition Based on Real-Time Beat Tracking.;2008;https://doi.org/10.5281/zenodo.1415108;A robot that can provide an active and enjoyable user interface is one of the most challenging applications for music information processing, because the robot should cope with high-power noises including self voices and motor noises. This paper proposes noise-robust musical beat tracking by using a robot-embedded microphone, and describes its application to a robot singer with music recognition. The proposed beat tracking introduces two key techniques, that is, spectro-temporal pattern matching and echo cancellation. The former realizes robust tempo estimation with a shorter window length, thus, it can quickly adapt to tempo changes. The latter is effective to cancel self periodic noises such as stepping, scatting, and singing. We constructed a robot singer based on the proposed beat tracking for Honda ASIMO. The robot detects a musical beat with its own microphone in a noisy environment. It tries to recognize music based on the detected musical beat. When it successfully recognizes music, it sings while stepping according to the beat. Otherwise, it performs scatting instead of singing because the lyrics are unavailable. Experimental results showed fast adaptation to tempo changes and high robustness in beat tracking even when stepping, scatting and singing.;"Kazumasa Murata, Tokyo Institute of Technology, JPN, education;Kazuhiro Nakadai, Tokyo Institute of Technology, JPN, education, Honda Research Institute Japan Co., Ltd., JPN, company;Kazuyoshi Yoshii, Kyoto University, JPN, education;Ryu Takeda, Kyoto University, JPN, education;Toyotaka Torii, Honda Research Institute Japan Co., Ltd., JPN, company;Hiroshi G. Okuno, Kyoto University, JPN, education;Yuji Hasegawa, Honda Research Institute Japan Co., Ltd., JPN, company;Hiroshi Tsujino, Honda Research Institute Japan Co., Ltd., JPN, company";Tokyo Institute of Technology, Tokyo Institute of Technology, Kyoto University, Kyoto University, Honda Research Institute Japan Co. Ltd., Kyoto University, Honda Research Institute Japan Co. Ltd., Honda Research Institute Japan Co. Ltd.;education, education, education, education, company, education, company, company;JPN, JPN, JPN, JPN, JPN, JPN, JPN, JPN;NOT_FOUND;Developed economies;Developed economies, Developed economies, Developed economies, Developed economies, Developed economies, Developed economies, Developed economies, Developed economies;57.681103;1.5935159
"Yuxiang Liu;Ye Wang;Arun Shenoy;Wei-Ho Tsai;Lianhong Cai";Clustering Music Recordings by Their Keys.;2008;https://doi.org/10.5281/zenodo.1417375;Music key, a high level feature of musical audio, is an effective tool for structural analysis of musical works. This paper presents a novel unsupervised approach for clustering music recordings by their keys. Based on chroma-based features extracted from acoustic signals, an inter-recording distance metric which characterizes diversity of pitch distribution together with harmonic center of music pieces, is introduced to measure dissimilarities among musical features. Then, recordings are divided into categories via unsupervised clustering, where the best number of clusters can be determined automatically by minimizing estimated Rand Index. Any existing technique for key detection can then be employed to identify key assignment for each cluster. Empirical evaluation on a dataset of 91 pop songs illustrates an average cluster purity of 57.3% and a Rand Index of close to 50%, thus highlighting the possibility of integration with existing key identification techniques to improve accuracy, based on strong cross-correlation data available from this framework for input dataset.;"Yuxiang Liu, Tsinghua University, CHN, education;Ye Wang, National University of Singapore, SGP, education;Arun Shenoy, ;Wei-Ho Tsai, National Taipei University of Technology, TWN, education;Lianhong Cai, Tsinghua University, CHN, education";Tsinghua University, National University of Singapore, National Taipei University of Technology, National Taipei University of Technology, Tsinghua University;education, education, education, education, education;CHN, SGP, TWN, TWN, CHN;NOT_FOUND;Developing economies;Developing economies, Developing economies, Developing economies, Developing economies, Developing economies;2.1582274;14.826746
"Linxing Xiao;Aibo Tian;Wen Li;Jie Zhou";Using Statistic Model to Capture the Association between Timbre and Perceived Tempo.;2008;https://doi.org/10.5281/zenodo.1414922;The estimation of the perceived tempo is required in many MIR applications. However, automatic tempo estimation itself is still an open problem due to the insufﬁcient understanding of the inherent mechanisms of the tempo perception. Published methods only use the information of rhythm pattern, so they may meet the half/double tempo error problem. To solve this problem, We propose to use statistic model to investigate the association between timbre and tempo and use timbre information to improve the performance of tempo estimation. Experiment results show that this approach performs at least comparably to existing tempo extraction algorithms.;"Linxing Xiao, Tsinghua National Laboratory for Information Science and Technology, Tsinghua University, Beijing, P.R. China, education;Aibo Tian, Tsinghua National Laboratory for Information Science and Technology, Tsinghua University, Beijing, P.R. China, education;Wen Li, Tsinghua National Laboratory for Information Science and Technology, Tsinghua University, Beijing, P.R. China, education;Jie Zhou, Tsinghua National Laboratory for Information Science and Technology, Tsinghua University, Beijing, P.R. China, education";Tsinghua University,Tsinghua University,Tsinghua University,Tsinghua University;education, education, education, education;CHN, CHN, CHN, CHN;NOT_FOUND;Developing economies;Developing economies, Developing economies, Developing economies, Developing economies;47.127007;18.995123
"Ernesto Trajano de Lima;Geber Ramalho";On Rhythmic Pattern Extraction in Bossa Nova Music.;2008;https://doi.org/10.5281/zenodo.1417959;The analysis of expressive performance, an important research topic in Computer Music, is almost exclusively devoted to the study of Western Classical piano music. Instruments like the acoustic guitar and styles like Bossa Nova and Samba have been little studied, despite their harmonic and rhythmic richness. This paper describes some experimental results obtained with the extraction of rhythmic patterns from the guitar accompaniment of Bossa Nova songs. The songs, played by two different performers and recorded with the help of a MIDI guitar, were represented as strings and processed by FlExPat, a string matching algorithm. The results obtained were then compared to a previously acquired catalogue of “good” patterns.;"Ernesto Trajano de Lima, Centro de Informática (CIn)—Univ. Federal de Pernambuco, BRA, education;Geber Ramalho, Centro de Informática (CIn)—Univ. Federal de Pernambuco, BRA, education";Universidade Federal de Pernambuco, Universidade Federal de Pernambuco;education, education;BRA, BRA;FOUND;Developing economies;Developing economies, Developing economies;38.228943;17.904848
"Rafael Ramírez;Alfonso Pérez;Stefan Kersten";Performer Identification in Celtic Violin Recordings.;2008;https://doi.org/10.5281/zenodo.1416988;We present an approach to the task of identifying performers from their playing styles. We investigate how violinists express and communicate their view of the musical content of Celtic popular pieces and how to use this information in order to automatically identify performers. We study note-level deviations of parameters such as timing and amplitude. Our approach to performer identification consists of inducing an expressive performance model for each of the interpreters (essentially establishing a performer dependent mapping of inter-note features to a timing and amplitude expressive transformations). We present a successful performer identification case study.;"Rafael Ramirez, Universitat Pompeu Fabra, ESP, education;Alfonso Perez, Universitat Pompeu Fabra, ESP, education;Stefan Kersten, Universitat Pompeu Fabra, ESP, education";Universitat Pompeu Fabra, Universitat Pompeu Fabra, Universitat Pompeu Fabra;education, education, education;ESP, ESP, ESP;NOT_FOUND;Developed economies;Developed economies, Developed economies, Developed economies;23.602379;-32.407463
"Mohamed Sordo;Òscar Celma;Martin Blech;Enric Guaus";The Quest for Musical Genres: Do the Experts and the Wisdom of Crowds Agree?;2008;https://doi.org/10.5281/zenodo.1415262;This paper presents some ﬁndings around musical genres. The main goal is to analyse whether there is any agreement between a group of experts and a community, when deﬁning a set of genres and their relationships. For this purpose, three different experiments are conducted using two datasets: the MP3.com expert taxonomy, and last.fm tags at artist level. The experimental results show a clear agreement for some components of the taxonomy (Blues, HipHop), whilst in other cases (e.g. Rock) there is no correlations. Interestingly enough, the same results are found in the MIREX2007 results for audio genre classiﬁcation task. Therefore, a multi–faceted approach for musical genre using expert based classiﬁcations, dynamic associations derived from the wisdom of crowds, and content–based analysis can improve genre classiﬁcation, as well as other relevant MIR tasks such as music similarity or music recommendation.;"Mohamed Sordo, Universitat Pompeu Fabra, ESP, education;Oscar Celma, Universitat Pompeu Fabra, ESP, education;Martín Blech, Universitat Pompeu Fabra, ESP, education;Enric Guaus, Universitat Pompeu Fabra, ESP, education";Universitat Pompeu Fabra, Universitat Pompeu Fabra, Universitat Pompeu Fabra, Universitat Pompeu Fabra;education, education, education, education;ESP, ESP, ESP, ESP;NOT_FOUND;Developed economies;Developed economies, Developed economies, Developed economies, Developed economies;0.063295074;35.17119
"Pierre-Antoine Manzagol;Thierry Bertin-Mahieux;Douglas Eck";On the Use of Sparce Time Relative Auditory Codes for Music.;2008;https://doi.org/10.5281/zenodo.1415034;Many if not most audio features used in MIR research are inspired by work done in speech recognition and are variations on the spectrogram. Recently, much attention has been given to new representations of audio that are sparse and time-relative. These representations are efﬁcient and able to avoid the time-frequency trade-off of a spectrogram. Yet little work with music streams has been conducted and these features remain mostly unused in the MIR community. In this paper we further explore the use of these features for musical signals. In particular, we investigate their use on realistic music examples (i.e. released commercial music) and their use as input features for supervised learning. Furthermore, we identify three speciﬁc issues related to these features which will need to be further addressed in order to obtain the full beneﬁt for MIR applications.;"Pierre-Antoine Manzagol, Université de Montréal, CAN, education;Thierry Bertin-Mahieux, Université de Montréal, CAN, education;Douglas Eck, Université de Montréal, CAN, education";Université de Montréal, Université de Montréal, Université de Montréal;education, education, education;CAN, CAN, CAN;NOT_FOUND;Developed economies;Developed economies, Developed economies, Developed economies;41.762012;10.174814
"Emmanuel Ravelli;Gaël Richard;Laurent Daudet";Fast MIR in a Sparse Transform Domain.;2008;https://doi.org/10.5281/zenodo.1417002;We consider in this paper sparse audio coding as an alternative to transform audio coding for efficient MIR in the transform domain. We use an existing audio coder based on a sparse representation in a union of MDCT bases, and propose a fast algorithm to compute mid-level representations for beat tracking and chord recognition, respectively an onset detection function and a chromagram. The resulting transform domain system is significantly faster than a comparable state-of-the-art system while obtaining close performance above 8 kbps.;"Emmanuel Ravelli, Université Paris 6, FRA, education;Gaël Richard, TELECOM ParisTech, FRA, education;Laurent Daudet, Université Paris 6, FRA, education";Université Pierre et Marie Curie, Telecom ParisTech, Université Pierre et Marie Curie;education, education, education;FRA, FRA, FRA;NOT_FOUND;Developed economies;Developed economies, Developed economies, Developed economies;-68.79489;-3.698713
"Joachim Ganseman;Paul Scheunders;Wim D'haes";Using XQuery on MusicXML Databases for Musicological Analysis.;2008;https://doi.org/10.5281/zenodo.1414836;MusicXML is a fairly recent XML-based ﬁle format for music scores, now supported by many score and audio editing software applications. Several online score library projects exist or are emerging, some of them using MusicXML as main format. When storing a large set of XML-encoded scores in an XML database, XQuery can be used to retrieve information from this database. We present some small practical examples of such large scale analysis, using the Wikifonia lead sheet database and the eXist XQuery engine. This shows the feasibility of automated musicological analysis on digital score libraries using the latest software tools. Bottom line: it’s easy.;"Joachim Ganseman, Paul Scheunders, University of Antwerp, BEL, education;Wim D’haes, Mu Technologies NV, BEL, company";University of Antwerp,University of Antwerp, Mu Technologies NV;education, education, company;BEL, BEL, BEL;NOT_FOUND;Developed economies;Developed economies, Developed economies, Developed economies;-36.08608;-13.496657
"Christian Fremerey;Meinard Müller;Frank Kurth;Michael Clausen";Automatic Mapping of Scanned Sheet Music to Audio Recordings.;2008;https://doi.org/10.5281/zenodo.1416034;Signiﬁcant digitization efforts have resulted in large multimodal music collections comprising visual (scanned sheet music) as well as acoustic material (audio recordings). In this paper, we present a novel procedure for mapping scanned pages of sheet music to a given collection of audio recordings by identifying musically corresponding audio clips. To this end, both the scanned images as well as the audio recordings are ﬁrst transformed into a common feature representation using optical music recognition (OMR) and methods from digital signal processing, respectively. Based on this common representation, a direct comparison of the two different types of data is facilitated. This allows for a search of scan-based queries in the audio collection. We report on systematic experiments conducted on the corpus of Beethoven’s piano sonatas showing that our mapping procedure works with high precision across the two types of music data in the case that there are no severe OMR errors. The proposed mapping procedure is relevant in a real-world application scenario at the Bavarian State Library for automatically identifying and annotating scanned sheet music by means of already available annotated audio material.;"Christian Fremerey, University of Bonn, DEU, education;Meinard Müller, Max-Planck-Institut (MPI) for Informatics, DEU, facility;Frank Kurth, Research Establishment for Applied Science (FGAN), DEU, facility;Michael Clausen, University of Bonn, DEU, education";University of Bonn, Max Planck Institute, Research Establishment for Applied Science, University of Bonn;education, education, facility, education;DEU, DEU, DEU, DEU;NOT_FOUND;Developed economies;Developed economies, Developed economies, Developed economies, Developed economies;-11.552755;-40.27333
"Douglas Turnbull;Luke Barrington;Gert R. G. Lanckriet";Five Approaches to Collecting Tags for Music.;2008;https://doi.org/10.5281/zenodo.1416804;We compare ﬁve approaches to collecting tags for music: conducting a survey, harvesting social tags, deploying annotation games, mining web documents, and autotagging audio content. The comparison includes a discussion of both scalability (ﬁnancial cost, human involvement, and computational resources) and quality (the cold start problem & popularity bias, strong vs. weak labeling, vocabulary structure & size, and annotation accuracy). We then describe one state-of-the-art system for each approach. The performance of each system is evaluated using a tag-based music information retrieval task. Using this task, we are able to quantify the effect of popularity bias on each approach by making use of a subset of more popular (short-head) songs and a set of less popular (long-tail) songs. Lastly, we propose a simple hybrid context-content system that combines our individual approaches and produces superior retrieval results.;"Douglas Turnbull, UC San Diego, USA, education;Luke Barrington, UC San Diego, USA, education;Gert Lanckriet, UC San Diego, USA, education";University of California San Diego, University of California San Diego, University of California San Diego;education, education, education;USA, USA, USA;NOT_FOUND;Developed economies;Developed economies, Developed economies, Developed economies;-22.323114;35.857483
"Luke Barrington;Mehrdad Yazdani;Douglas Turnbull;Gert R. G. Lanckriet";Combining Feature Kernels for Semantic Music Retrieval.;2008;https://doi.org/10.5281/zenodo.1415070;We apply a new machine learning tool, kernel combination, to the task of semantic music retrieval. We use 4 different types of acoustic content and social context feature sets to describe a large music corpus and derive 4 individual kernel matrices from these feature sets. Each kernel is used to train a support vector machine (SVM) classiﬁer for each semantic tag (e.g., ‘aggressive’, ‘classic rock’, ‘distorted electric guitar’) in a large tag vocabulary. We examine the individual performance of each feature kernel and then show how to learn an optimal linear combination of these kernels using convex optimization. We ﬁnd that the retrieval performance of the SVMs trained using the combined kernel is superior to SVMs trained using the best individual kernel for a large number of tags. In addition, the weights placed on individual kernels in the linear combination reﬂect the relative importance of each feature set when predicting a tag.;"Luke Barrington, University of California, San Diego, USA, education;Mehrdad Yazdani, University of California, San Diego, USA, education;Douglas Turnbull, University of California, San Diego, USA, education;Gert Lanckriet, University of California, San Diego, USA, education";University of California San Diego, University of California San Diego, University of California San Diego, University of California San Diego;education, education, education, education;USA, USA, USA, USA;NOT_FOUND;Developed economies;Developed economies, Developed economies, Developed economies, Developed economies;-20.115557;13.589962
Arturo Camacho;Detection of Pitched/Unpitched Sound using Pitch Strength Clustering.;2008;https://doi.org/10.5281/zenodo.1418169;A method for detecting pitched/unpitched sound is presented. The method tracks the pitch strength trace of the signal, determining clusters of pitch and unpitched sound. The criterion used to determine the clusters is the local maximization of the distance between the centroids. The method makes no assumption about the data except that the pitched and unpitched clusters have different centroids. This allows the method to dispense with free parameters. The method is shown to be more reliable than using fixed thresholds when the SNR is unknown.;Arturo Camacho, University of Florida, USA, education;University of Florida;education;USA;NOT_FOUND;Developed economies;Developed economies;44.760445;1.6727247
"Miguel Molina-Solana;Josep Lluís Arcos;Emilia Gómez";Using Expressive Trends for Identifying Violin P erformers.;2008;https://doi.org/10.5281/zenodo.1417907;This paper presents a new approach for identifying professional performers in commercial recordings. We propose a Trend-based model that, analyzing the way Narmour’s Implication-Realization patterns are played, is able to characterize performers. Concretely, starting from automatically extracted descriptors provided by state-of-the-art extraction tools, the system performs a mapping to a set of qualitative behavior shapes and constructs a collection of frequency distributions for each descriptor. Experiments were conducted in a data-set of violin recordings from 23 different performers. Reported results show that our approach is able to achieve high identification rates.;"Miguel Molina-Solana, University of Granada, ESP, education;Josep Lluís Arcos, CSIC, Spanish National Res. Council, ESP, facility;Emilia Gomez, Universitat Pompeu Fabra, ESP, education";University of Granada, Spanish Council for Scientific Research, Universitat Pompeu Fabra;education, facility, education;ESP, ESP, ESP;NOT_FOUND;Developed economies;Developed economies, Developed economies, Developed economies;23.623203;-32.367325
"Kjell Lemström;Niko Mikkilä;Veli Mäkinen";Fast Index Based Filters for Music Retrieval.;2008;https://doi.org/10.5281/zenodo.1416774;We consider two content-based music retrieval problems where the music is modeled as sets of points in the Euclidean plane, formed by the (on-set time, pitch) pairs. We introduce fast filtering methods based on indexing the underlying database. The filters run in a sublinear time in the length of the database, and they are lossless if a quadratic space may be used. By taking into account the application, the search space can be narrowed down, obtaining practically lossless filters using linear size index structures. For the checking phase, which dominates the overall running time, we exploit previously designed algorithms suitable for local checking. In our experiments on a music database, our best filter-based methods performed several orders of a magnitude faster than previous solutions.;"Kjell Lemström, University of Helsinki, Department of Computer Science, FIN, education;Niko Mikkilä, University of Helsinki, Department of Computer Science, FIN, education;Veli Mäkinen, University of Helsinki, Department of Computer Science, FIN, education";University of Helsinki,University of Helsinki,University of Helsinki;education, education, education;FIN, FIN, FIN;NOT_FOUND;Developed economies;Developed economies, Developed economies, Developed economies;-25.801224;11.084872
"Xiao Hu;J. Stephen Downie;Cyril Laurier;Mert Bay;Andreas F. Ehmann";The 2007 MIREX Audio Mood Classification Task: Lessons Learned.;2008;https://doi.org/10.5281/zenodo.1416380;Recent music information retrieval (MIR) research pays increasing attention to music classification based on moods expressed by music pieces. The first Audio Mood Classification (AMC) evaluation task was held in the 2007 running of the Music Information Retrieval Evaluation eXchange (MIREX). This paper describes important issues in setting up the task, including dataset construction and ground-truth labeling, and analyzes human assessments on the audio dataset, as well as system performances from various angles. Interesting findings include system performance differences with regard to mood clusters and the levels of agreement amongst human judgments regarding mood labeling. Based on these analyses, we summarize experiences learned from the first community scale evaluation of the AMC task and propose recommendations for future AMC and similar evaluation tasks.;"Xiao Hu, University of Illinois at Urbana-Champaign, USA, education;J. Stephen Downie, University of Illinois at Urbana-Champaign, USA, education;Cyril Laurier, Universitat Pompeu Fabra, ESP, education;Mert Bay, University of Illinois at Urbana-Champaign, USA, education;Andreas F. Ehmann, University of Illinois at Urbana-Champaign, USA, education";University of Illinois Urbana-Champaign, University of Illinois Urbana-Champaign, Universitat Pompeu Fabra, University of Illinois Urbana-Champaign, University of Illinois Urbana-Champaign;education, education, education, education, education;USA, USA, ESP, USA, USA;NOT_FOUND;Developed economies;Developed economies, Developed economies, Developed economies, Developed economies, Developed economies;-23.896772;55.851208
"J. Stephen Downie;Mert Bay;Andreas F. Ehmann;M. Cameron Jones";Audio Cover Song Identification: MIREX 2006-2007 Results and Analyses.;2008;https://doi.org/10.5281/zenodo.1417133;This paper presents analyses of the 2006 and 2007 results of the Music Information Retrieval Evaluation eXchange (MIREX) Audio Cover Song Identification (ACS) tasks. The Music Information Retrieval Evaluation eXchange (MIREX) is a community-based endeavor to scientifically evaluate music information retrieval (MIR) algorithms and techniques. The ACS task was created to motivate MIR researchers to expand their notions of similarity beyond acoustic similarity to include the important idea that musical works retain their identity notwithstanding variations in style, genre, orchestration, rhythm or melodic ornamentation, etc. A series of statistical analyses were performed that indicate significant improvements in this domain have been made over the course of 2006-2007. Post-hoc analyses reveal distinct differences between individual systems and the effects of certain classes of queries on performance. This paper discusses some of the techniques that show promise in this research domain;"J. Stephen Downie, University of Illinois at Urbana-Champaign, USA, education;Mert Bay, University of Illinois at Urbana-Champaign, USA, education;Andreas F. Ehmann, University of Illinois at Urbana-Champaign, USA, education;M. Cameron Jones, University of Illinois at Urbana-Champaign, USA, education";University of Illinois Urbana-Champaign, University of Illinois Urbana-Champaign, University of Illinois Urbana-Champaign, University of Illinois Urbana-Champaign;education, education, education, education;USA, USA, USA, USA;NOT_FOUND;Developed economies;Developed economies, Developed economies, Developed economies, Developed economies;15.569948;44.869022
"Olivier Lartillot;Tuomas Eerola;Petri Toiviainen;José Fornari";Multi-Feature Modeling of Pulse Clarity: Design, Validation and Optimization.;2008;https://doi.org/10.5281/zenodo.1415514;Pulse clarity is considered as a high-level musical dimension that conveys how easily in a given musical piece, or a particular moment during that piece, listeners can perceive the underlying rhythmic or metrical pulsation. The objective of this study is to establish a composite model explaining pulse clarity judgments from the analysis of audio recordings. A dozen of descriptors have been designed, some of them dedicated to low-level characterizations of the onset detection curve, whereas the major part concentrates on descriptions of the periodicities developed throughout the temporal evolution of music. A high number of variants have been derived from the systematic exploration of alternative methods proposed in the literature on onset detection curve estimation. To evaluate the pulse clarity model and select the best predictors, 25 participants have rated the pulse clarity of one hundred excerpts from movie soundtracks. The mapping between the model predictions and the ratings was carried out via regressions. Nearly a half of listeners’ rating variance can be explained via a combination of periodicity-based factors.;"Olivier Lartillot, University of Jyväskylä, FIN, education;Tuomas Eerola, University of Jyväskylä, FIN, education;Petri Toiviainen, University of Jyväskylä, FIN, education;Jose Fornari, University of Jyväskylä, FIN, education";University of Jyväskylä, University of Jyväskylä, University of Jyväskylä, University of Jyväskylä;education, education, education, education;FIN, FIN, FIN, FIN;NOT_FOUND;Developed economies;Developed economies, Developed economies, Developed economies, Developed economies;60.269207;8.982767
"Carlos Nascimento Silla Jr.;Alessandro L. Koerich;Celso A. A. Kaestner";The Latin Music Database.;2008;https://doi.org/10.5281/zenodo.1416282;In this paper we present the Latin Music Database, a novel database of Latin musical recordings which has been developed for automatic music genre classification, but can also be used in other music information retrieval tasks. The method for assigning genres to the musical recordings is based on human expert perception and therefore capture their tacit knowledge in the genre labeling process. We also present the ethnomusicology of the genres available in the database as it might provide important information for the analysis of the results of any experiment that employs the database.;"Carlos N. Silla Jr., University of Kent, GBR, education;Alessandro L. Koerich, Pontifical Catholic University of Paraná, BRA, education;Celso A. A. Kaestner, Federal University of Technology of Paraná, BRA, education";University of Kent, Pontifical Catholic University of Paraná, Federal University of Technology of Paraná;education, education, education;GBR, BRA, BRA;NOT_FOUND;Developed economies;Developed economies, Developing economies, Developing economies;-27.410292;-1.9963123
"Phillip B. Kirlin;Paul E. Utgoff";A Framework for Automated Schenkerian Analysis.;2008;https://doi.org/10.5281/zenodo.1415892;In Schenkerian analysis, one seeks to ﬁnd structural dependences among the notes of a composition and organize these dependences into a coherent hierarchy that illustrates the function of every note. This type of analysis reveals multiple levels of structure in a composition by constructing a series of simpliﬁcations of a piece showing various elaborations and prolongations. We present a framework for solving this problem, called IVI, that uses a state-space search formalism. IVI includes multiple interacting components, including modules for various preliminary analyses (harmonic, melodic, rhythmic, and cadential), identifying and performing reductions, and locating pieces of the Ursatz. We describe a number of the algorithms by which IVI forms, stores, and updates its hierarchy of notes, along with details of the Ursatz-ﬁnding algorithm. We illustrate IVI’s functionality on an excerpt from a Schubert piano composition, and also discuss the issues of subproblem interactions and the multiple parsings problem.;"Phillip B. Kirlin, University of Massachusetts Amherst, USA, education;Paul E. Utgoff, University of Massachusetts Amherst, USA, education";University of Massachusetts Amherst, University of Massachusetts Amherst;education, education;USA, USA;NOT_FOUND;Developed economies;Developed economies, Developed economies;-30.045408;-35.371216
"Mitsunori Ogihara;Tao Li";N-Gram Chord Profiles for Composer Style Representation.;2008;https://doi.org/10.5281/zenodo.1415956;This paper studies the problem of using weighted N-grams of chord sequences to construct the proﬁle of a composer. The N-gram proﬁle of a chord sequence is the collection of all N-grams appearing in a sequence where each N-gram is given a weight proportional to its beat count. The N-gram proﬁle of a collection of chord sequences is the simple average of the N-gram proﬁle of all the chord sequences in the collection. Similarity of two composers is measured by the cosine of their respective proﬁles, which has a value in the range [0, 1]. Using the cosine-based similarity, a group of composers is clustered into a hierarchy, which appears to be explicable. Also, the composition style can be identiﬁed using N-gram signatures.;"Mitsunori Ogihara, University of Miami, USA, education;Tao Li, Florida International University, USA, education";University of Miami, Florida International University;education, education;USA, USA;NOT_FOUND;Developed economies;Developed economies, Developed economies;21.71769;-53.138702
"Riccardo Miotto;Nicola Orio";A Music Identification System Based on Chroma Indexing and Statistical Modeling.;2008;https://doi.org/10.5281/zenodo.1415254;A methodology is described for the automatic identiﬁcation of classical music works. It can be considered an extension of ﬁngerprinting techniques because the identiﬁcation is carried out also when the query is a different performance of the work stored in the database, possibly played by different instruments and with background noise. The proposed methodology integrates an already existing approach based on hidden Markov models with an additional component that aims at improving scalability. The general idea is to carry out a clustering of the collection to highlight a limited number of candidates to be used for the HMM-based identiﬁcation. Clustering is computed using the chroma features of the music works, hashed in a single value and retrieved using a bag of terms approach. Evaluation results are provided to show the validity of the combined approaches.;"Riccardo Miotto, University of Padova, ITA, education;Nicola Orio, University of Padova, ITA, education";University of Padova, University of Padova;education, education;ITA, ITA;NOT_FOUND;Developed economies;Developed economies, Developed economies;4.634824;24.03585
